frontal,vertical,lateral,rssi,phase,frequency,X_id_1,X_id_2,X_id_3,Y
0.060972,1.1231,0.031928,-63.0,2.2688,923.25,0.0,0.0,1.0,3
0.060972,1.1231,0.031928,-61.5,2.5648,920.25,0.0,0.0,1.0,3
0.41273,0.97377,0.043332,-60.5,5.6635,922.75,0.0,0.0,1.0,3
0.41273,0.97377,0.043332,-59.0,4.3964,923.75,0.0,0.0,1.0,3
0.14305,1.0542,-0.11631,-66.0,6.1467,920.75,1.0,0.0,0.0,3
0.22513,1.0082,-0.025087,-63.5,4.1157,923.25,1.0,0.0,0.0,3
0.20168,1.0197,-0.11631,-59.5,5.8644,925.75,0.0,1.0,0.0,0
0.20168,1.0197,-0.11631,-60.0,0.49701,924.25,0.0,1.0,0.0,0
0.20168,1.0197,-0.11631,-59.5,2.1967,924.75,0.0,0.0,1.0,0
0.23685,1.0082,-0.070699,-67.0,1.014,922.75,1.0,0.0,0.0,0
0.33066,1.0082,-0.11631,-68.0,0.71023,921.75,1.0,0.0,0.0,0
0.43619,0.87042,0.020525,-59.0,0.65194,923.25,0.0,1.0,0.0,0
0.43619,0.87042,0.020525,-59.5,0.11965,920.25,0.0,1.0,0.0,0
0.33066,0.96229,-0.025087,-61.0,3.8365,925.75,0.0,1.0,0.0,0
0.33066,0.96229,-0.025087,-67.0,4.1157,922.75,0.0,0.0,1.0,0
0.35411,0.98526,0.0091224,-63.5,1.8899,920.75,0.0,0.0,1.0,0
0.35411,0.98526,0.0091224,-64.0,0.99709,921.75,0.0,0.0,1.0,0
0.2134,0.99674,-0.18473,-62.0,5.6466,923.25,0.0,0.0,1.0,0
0.30721,0.81301,-0.67506,-58.5,0.85289,924.75,0.0,1.0,0.0,0
0.30721,0.81301,-0.67506,-58.5,4.7277,922.75,0.0,0.0,1.0,0
0.30721,0.81301,-0.67506,-60.0,0.31293,923.75,0.0,0.0,1.0,0
0.31893,0.65224,-0.8233,-59.5,0.99402,921.25,0.0,0.0,1.0,0
0.24858,0.67521,-0.8119,-49.0,0.60746,920.75,0.0,1.0,0.0,0
0.24858,0.67521,-0.8119,-48.5,0.58751,920.75,0.0,1.0,0.0,0
0.36583,0.69818,-0.77769,-49.0,5.9227,921.75,0.0,1.0,0.0,0
0.36583,0.69818,-0.77769,-49.0,5.8675,921.75,0.0,1.0,0.0,0
0.44791,0.68669,-0.74348,-59.0,5.6742,921.75,0.0,0.0,1.0,0
0.44791,0.68669,-0.74348,-47.0,4.5483,922.25,0.0,1.0,0.0,0
0.54171,0.51445,-0.78909,-46.5,4.2292,922.25,0.0,1.0,0.0,0
0.58862,0.42258,-0.89172,-62.0,2.729,923.25,0.0,0.0,1.0,0
0.58862,0.42258,-0.89172,-62.0,2.1936,923.25,0.0,0.0,1.0,0
0.58862,0.42258,-0.89172,-51.0,2.3899,925.25,0.0,1.0,0.0,0
0.49481,0.33072,-0.85751,-63.5,4.3059,925.75,0.0,0.0,1.0,2
0.49481,0.33072,-0.85751,-48.0,6.0209,924.25,0.0,1.0,0.0,2
0.49481,0.33072,-0.85751,-48.0,6.0562,924.25,0.0,1.0,0.0,2
0.43619,0.31923,-0.89172,-62.0,1.6153,924.25,0.0,0.0,1.0,2
0.43619,0.31923,-0.89172,-64.5,0.77619,924.75,0.0,0.0,1.0,2
0.43619,0.31923,-0.89172,-49.0,2.2457,924.75,0.0,1.0,0.0,2
0.50654,0.36516,-0.91452,-49.0,0.13806,922.75,0.0,1.0,0.0,2
0.50654,0.36516,-0.91452,-49.5,0.14266,922.75,0.0,1.0,0.0,2
0.50654,0.36516,-0.91452,-51.5,2.6001,923.75,0.0,1.0,0.0,2
0.35411,0.2733,-1.0172,-67.0,0.001534,923.75,0.0,0.0,1.0,2
0.35411,0.2733,-1.0172,-69.5,0.076699,921.75,0.0,0.0,1.0,2
-0.10318,0.2733,-1.1312,-58.0,1.6245,922.25,0.0,1.0,0.0,2
0.084423,0.19292,-1.0514,-58.5,0.77619,923.75,0.0,1.0,0.0,2
0.084423,0.19292,-1.0514,-58.0,1.4021,922.25,0.0,1.0,0.0,2
0.049247,0.26182,-1.0514,-58.5,0.98635,923.25,0.0,1.0,0.0,2
0.084423,0.22737,-1.0172,-59.0,5.9871,925.75,0.0,1.0,0.0,2
0.084423,0.22737,-1.0172,-58.5,1.2149,922.75,0.0,1.0,0.0,2
0.27203,0.14698,-0.97154,-58.5,6.0071,925.75,0.0,1.0,0.0,2
0.27203,0.14698,-0.97154,-58.5,0.74398,923.75,0.0,1.0,0.0,2
0.18995,0.15847,-0.98294,-58.5,6.0117,925.75,0.0,1.0,0.0,2
0.18995,0.15847,-0.98294,-58.5,0.19788,924.75,0.0,1.0,0.0,2
0.049247,0.26182,-1.0514,-59.0,5.9917,925.75,0.0,1.0,0.0,2
0.1196,0.22737,-1.0172,-58.0,0.98175,923.25,0.0,1.0,0.0,2
0.1196,0.22737,-1.0172,-58.5,0.49394,924.25,0.0,1.0,0.0,2
0.2603,0.15847,-0.96014,-58.5,0.48474,924.25,0.0,1.0,0.0,2
0.10787,0.22737,-1.0172,-58.5,0.49854,924.25,0.0,1.0,0.0,2
0.31893,0.1355,-0.94873,-58.5,6.2571,925.25,0.0,1.0,0.0,2
0.096148,0.23885,-1.04,-58.5,1.4557,922.25,0.0,1.0,0.0,2
0.096148,0.23885,-1.04,-59.0,5.9779,925.75,0.0,1.0,0.0,2
0.24858,0.15847,-0.98294,-58.5,6.2617,925.25,0.0,1.0,0.0,2
0.24858,0.15847,-0.98294,-59.0,5.9764,925.75,0.0,1.0,0.0,2
0.24858,0.15847,-0.98294,-58.0,1.241,922.75,0.0,1.0,0.0,2
0.084423,0.25033,-1.04,-58.5,6.2694,925.25,0.0,1.0,0.0,2
0.084423,0.25033,-1.04,-58.5,6.0025,925.75,0.0,1.0,0.0,2
0.084423,0.23885,-1.0286,-58.5,5.9871,925.75,0.0,1.0,0.0,2
0.14305,0.21588,-1.0057,-58.5,0.20555,924.75,0.0,1.0,0.0,2
0.14305,0.21588,-1.0172,-58.0,0.50315,924.25,0.0,1.0,0.0,2
0.29548,0.15847,-0.96014,-58.5,6.2556,925.25,0.0,1.0,0.0,2
0.29548,0.15847,-0.96014,-58.5,5.9994,925.75,0.0,1.0,0.0,2
0.1196,0.22737,-1.0172,-58.5,0.48014,924.25,0.0,1.0,0.0,2
0.13132,0.21588,-1.0057,-58.0,1.0048,923.25,0.0,1.0,0.0,2
0.1196,0.21588,-1.0172,-58.5,5.9595,925.75,0.0,1.0,0.0,2
0.14305,0.22737,-1.0057,-58.5,6.2004,925.25,0.0,1.0,0.0,2
0.14305,0.22737,-1.0057,-58.5,5.9457,925.75,0.0,1.0,0.0,2
0.060972,0.25033,-1.0514,-58.5,6.208,925.25,0.0,1.0,0.0,2
0.13132,0.22737,-1.0172,-59.0,5.9258,925.75,0.0,1.0,0.0,2
0.1665,0.2044,-1.0057,-58.0,0.68569,923.75,0.0,1.0,0.0,2
0.1196,0.23885,-1.0172,-58.5,5.9549,925.75,0.0,1.0,0.0,2
0.13132,0.21588,-1.0172,-58.0,0.45252,924.25,0.0,1.0,0.0,2
0.13132,0.22737,-1.0172,-58.5,6.2096,925.25,0.0,1.0,0.0,2
0.13132,0.21588,-1.0057,-58.5,5.9242,925.75,0.0,1.0,0.0,2
0.096148,0.25033,-1.0286,-58.5,6.2249,925.25,0.0,1.0,0.0,2
0.29548,0.14698,-0.94873,-59.0,0.1626,924.75,0.0,1.0,0.0,2
0.14305,0.22737,-1.0172,-58.5,6.1727,925.25,0.0,1.0,0.0,2
0.084423,0.25033,-1.04,-58.5,6.1973,925.25,0.0,1.0,0.0,2
0.084423,0.25033,-1.04,-58.5,0.14726,924.75,0.0,1.0,0.0,2
0.18995,0.21588,-0.98294,-58.5,5.9288,925.75,0.0,1.0,0.0,2
0.17823,0.2044,-0.98294,-58.5,0.40804,924.25,0.0,1.0,0.0,2
0.28376,0.15847,-0.96014,-59.0,5.9058,925.75,0.0,1.0,0.0,2
0.1196,0.25033,-1.0172,-58.5,0.14266,924.75,0.0,1.0,0.0,2
0.1196,0.25033,-1.0172,-58.5,0.64734,923.75,0.0,1.0,0.0,2
0.36583,0.12402,-0.93733,-58.5,0.39884,924.25,0.0,1.0,0.0,2
0.36583,0.12402,-0.93733,-58.0,0.65194,923.75,0.0,1.0,0.0,2
0.096148,0.2733,-1.04,-59.0,0.11351,924.75,0.0,1.0,0.0,2
0.15478,0.22737,-1.0057,-58.5,5.9058,925.75,0.0,1.0,0.0,2
0.44791,0.22737,-0.93733,-61.0,1.8853,920.25,0.0,0.0,1.0,2
0.44791,0.22737,-0.93733,-49.0,0.3835,920.25,0.0,1.0,0.0,2
0.44791,0.22737,-0.93733,-65.5,5.846,925.75,0.0,0.0,1.0,2
0.42446,0.25033,-0.91452,-62.0,0.23163,924.25,0.0,0.0,1.0,2
0.42446,0.25033,-0.91452,-51.5,1.0431,924.75,0.0,1.0,0.0,2
0.84658,0.055119,-0.8233,-49.0,1.9604,922.75,0.0,1.0,0.0,2
0.84658,0.055119,-0.8233,-49.0,1.9528,922.75,0.0,1.0,0.0,2
0.84658,0.055119,-0.8233,-49.0,1.9129,922.75,0.0,1.0,0.0,2
0.52999,0.21588,-0.90312,-61.0,0.83909,922.75,0.0,0.0,1.0,2
0.52999,0.21588,-0.90312,-50.5,1.399,923.75,0.0,1.0,0.0,2
0.62379,0.089569,-0.72067,-60.0,5.2385,921.25,0.0,0.0,1.0,2
0.62379,0.089569,-0.72067,-47.5,5.7064,921.25,0.0,1.0,0.0,2
0.62379,0.25033,-0.80049,-59.5,6.0562,920.75,0.0,0.0,1.0,2
0.54171,0.35368,-0.94873,-59.0,0.38656,920.75,0.0,0.0,1.0,2
0.54171,0.35368,-0.94873,-50.5,0.03068,921.75,0.0,1.0,0.0,2
0.55344,0.53741,-0.91452,-51.0,0.3927,922.25,0.0,1.0,0.0,2
